路口编号,路口编号,上一口编号,车道编号,相位ID,当前roadID,当前laneID,停车pointID,后继道路roadID1,后继道路laneID1,转弯属性1,|,gauss_x,guass_y,height,该组红绿灯总个数,子灯索引,子灯形状flag,子灯形状
G32050700001,I32050700000001,I32050700000002,1,2,地图上无此路,,end,,,,|,,,,,,,
G32050700001,I32050700000001,I32050700000002,2,4,地图上无此路,,end,,,,|,,,,,,,
G32050700001,I32050700000001,I32050700000002,3,4,地图上无此路,,end,,,,|,,,,,,,
G32050700001,I32050700000001,1-D,1,4,地图上无此路,,end,,,,|,,,,,,,
G32050700001,I32050700000001,1-D,2,4,地图上无此路,,end,,,,|,,,,,,,
G32050700001,I32050700000001,1-D,3,4,地图上无此路,,end,,,,|,,,,,,,
G32050700001,I32050700000001,1-C,1,3,地图上无此路,,end,,,,|,,,,,,,
G32050700001,I32050700000001,1-C,2,3,地图上无此路,,end,,,,|,,,,,,,
G32050700001,I32050700000001,1-C,3,3,地图上无此路,,end,,,,|,,,,,,,
G32050700001,I32050700000001,1-C,4,3,地图上无此路,,end,,,,|,,,,,,,
G32050700002,I32050700000002,I32050700000003,1,8,323,3,end,238,0,2,|,,,,,,,
G32050700002,I32050700000002,I32050700000003,2,2,323,2,end,地图上无后继,,,|,,,,,,,
G32050700002,I32050700000002,I32050700000003,3,2,323,1,end,地图上无后继,,,|,,,,,,,
G32050700002,I32050700000002,I32050700000003,4,0,323,0,end,237,0,1,|,,,,,,,
G32050700002,I32050700000002,2-C,1,9,526,4,end,地图上无后继,,,|,,,,,,,
G32050700002,I32050700000002,2-C,2,3,526,3,end,527,2,0,|,,,,,,,
G32050700002,I32050700000002,2-C,3,3,526,2,end,527,1,0,|,,,,,,,
G32050700002,I32050700000002,2-C,4,3,526,1,end,527,0,0,|,,,,,,,
G32050700002,I32050700000002,2-C,5,3,526,0,end,右转不看灯,,,|,,,,,,,
G32050700002,I32050700000002,I32050700000001,1,10,地图上无此路,,end,,,,|,,,,,,,
G32050700002,I32050700000002,I32050700000001,2,4,地图上无此路,,end,,,,|,,,,,,,
G32050700002,I32050700000002,I32050700000001,3,4,地图上无此路,,end,,,,|,,,,,,,
G32050700002,I32050700000002,2-A,1,7,64,4,end,239,0,2,|,,,,,,,
G32050700002,I32050700000002,2-A,2,1,64,3,end,316,2,0,|,,,,,,,
G32050700002,I32050700000002,2-A,3,1,64,2,end,316,1,0,|,,,,,,,
G32050700002,I32050700000002,2-A,4,1,64,1,end,316,0,0,|,,,,,,,
G32050700002,I32050700000002,2-A,5,1,64,0,end,地图上无后继,,,|,,,,,,,
G32050700003,I32050700000003,I32050700000004,1,2,42,2,end,317,2,0,|,,,,,,,
G32050700003,I32050700000003,I32050700000004,2,2,42,1,end,317,1,0,|,,,,,,,
G32050700003,I32050700000003,I32050700000004,3,2,42,0,end,317,0,0,|,,,,,,,
G32050700003,I32050700000003,I32050700000004,3,0,42,0,end,245,0,1,|,,,,,,,
G32050700003,I32050700000003,I32050700000002,1,10,326,2,end,244,0,2,|,,,,,,,
G32050700003,I32050700000003,I32050700000002,2,4,326,1,end,318,1,0,|,,,,,,,
G32050700003,I32050700000003,I32050700000002,3,4,326,0,end,318,0,0,|,,,,,,,
G32050700003,I32050700000003,I32050700000009,1,7,48,2,end,243,0,2,|,,,,,,,
G32050700003,I32050700000003,I32050700000009,2,7,48,1,end,242,0,2,|,,,,,,,
G32050700003,I32050700000003,I32050700000009,3,1,48,0,end,241,0,1,|,,,,,,,
G32050700004,I32050700000004,I32050700000005,1,2,40,2,end,319,2,0,|,,,,,,,
G32050700004,I32050700000004,I32050700000005,2,2,40,1,end,319,1,0,|,,,,,,,
G32050700004,I32050700000004,I32050700000005,3,2,40,0,end,319,0,0,|,,,,,,,
G32050700004,I32050700000004,I32050700000003,1,10,328,2,end,250,0,2,|,,,,,,,
G32050700004,I32050700000004,I32050700000003,2,4,328,1,end,320,1,0,|,,,,,,,
G32050700004,I32050700000004,I32050700000003,3,4,328,0,end,320,0,0,|,,,,,,,
G32050700004,I32050700000004,I32050700000010,1,7,52,3,end,249,0,2,|,,,,,,,
G32050700004,I32050700000004,I32050700000010,2,7,52,2,end,248,0,2,|,,,,,,,
G32050700004,I32050700000004,I32050700000010,3,1,52,1,end,247,0,1,|,,,,,,,
