路口编号,路口编号,上一口编号,车道编号,相位ID,当前roadID,当前laneID,停车pointID,后继道路roadID1,后继道路laneID1,转弯属性1,|,gauss_x,guass_y,height,该组红绿灯总个数,子灯索引,子灯形状flag,子灯形状
G32050700001,I32050700000001,I32050700000002,1,2,地图上无此路,,,,,,|,,,,,,,
G32050700001,I32050700000001,I32050700000002,2,4,地图上无此路,,,,,,|,,,,,,,
G32050700001,I32050700000001,I32050700000002,3,4,地图上无此路,,,,,,|,,,,,,,
G32050700001,I32050700000001,1-D,1,4,地图上无此路,,,,,,|,,,,,,,
G32050700001,I32050700000001,1-D,2,4,地图上无此路,,,,,,|,,,,,,,
G32050700001,I32050700000001,1-D,3,4,地图上无此路,,,,,,|,,,,,,,
G32050700001,I32050700000001,1-C,1,3,地图上无此路,,,,,,|,,,,,,,
G32050700001,I32050700000001,1-C,2,3,地图上无此路,,,,,,|,,,,,,,
G32050700001,I32050700000001,1-C,3,3,地图上无此路,,,,,,|,,,,,,,
G32050700001,I32050700000001,1-C,4,3,地图上无此路,,,,,,|,,,,,,,
G32050700002,I32050700000002,I32050700000003,1,8,地图上无此路,,,,,,|,,,,,,,
G32050700002,I32050700000002,I32050700000003,2,2,地图上无此路,,,,,,|,,,,,,,
G32050700002,I32050700000002,I32050700000003,3,2,72,1,14075,地图上无后继,,0,|,,,,,,,
G32050700002,I32050700000002,I32050700000003,4,0,72,0,14075,73,0,1,|,,,,,,,
G32050700002,I32050700000002,2-C,1,9,地图上无此路,,,,,,|,,,,,,,
G32050700002,I32050700000002,2-C,2,3,地图上无此路,,,,,,|,,,,,,,
G32050700002,I32050700000002,2-C,3,3,201,0,824,201,0,0,|,,,,,,,
G32050700002,I32050700000002,2-C,4,3,地图上无此路,,,,,,|,,,,,,,
G32050700002,I32050700000002,2-C,5,3,地图上无此路,,,,,,|,,,,,,,
G32050700002,I32050700000002,I32050700000001,1,10,地图上无此路,,,,,,|,,,,,,,
G32050700002,I32050700000002,I32050700000001,2,4,地图上无此路,,,,,,|,,,,,,,
G32050700002,I32050700000002,I32050700000001,3,4,地图上无此路,,,,,,|,,,,,,,
G32050700002,I32050700000002,2-A,1,7,53,4,669,54,0,2,|,,,,,,,
G32050700002,I32050700000002,2-A,2,1,地图上无此路,,,,,,|,,,,,,,
G32050700002,I32050700000002,2-A,3,1,地图上无此路,,,,,,|,,,,,,,
G32050700002,I32050700000002,2-A,4,1,地图上无此路,,,,,,|,,,,,,,
G32050700002,I32050700000002,2-A,5,1,地图上无此路,,,,,,|,,,,,,,
G32050700003,I32050700000003,I32050700000004,1,2,地图上无此路,,,,,,|,,,,,,,
G32050700003,I32050700000003,I32050700000004,2,2,72,0,11664,72,0,0,|,,,,,,,
G32050700003,I32050700000003,I32050700000004,3,2,72,1,11664,72,1,0,|,,,,,,,
G32050700003,I32050700000003,I32050700000002,1,10,地图上无此路,,,,,,|,,,,,,,
G32050700003,I32050700000003,I32050700000002,2,4,55,1,1813,55,1,0,|,,,,,,,
G32050700003,I32050700000003,I32050700000002,3,4,55,0,1813,55,0,0,|,,,,,,,
G32050700003,I32050700000003,I32050700000009,1,7,地图上无此路,,,,,,|,,,,,,,
G32050700003,I32050700000003,I32050700000009,2,7,地图上无此路,,,,,,|,,,,,,,
G32050700003,I32050700000003,I32050700000009,3,1,地图上无此路,,,,,,|,,,,,,,
G32050700004,I32050700000004,I32050700000005,1,2,地图上无此路,,,,,,|,,,,,,,
G32050700004,I32050700000004,I32050700000005,2,2,72,0,9160,72,0,0,|,,,,,,,
G32050700004,I32050700000004,I32050700000005,3,2,72,1,9160,72,1,0,|,,,,,,,
G32050700004,I32050700000004,I32050700000003,1,10,地图上无此路,,,,,,|,,,,,,,
G32050700004,I32050700000004,I32050700000003,2,4,55,1,4109,55,1,0,|,,,,,,,
G32050700004,I32050700000004,I32050700000003,3,4,55,0,4109,55,0,0,|,,,,,,,
G32050700004,I32050700000004,I32050700000010,1,7,地图上无此路,,,,,,|,,,,,,,
G32050700004,I32050700000004,I32050700000010,2,7,地图上无此路,,,,,,|,,,,,,,
G32050700004,I32050700000004,I32050700000010,3,1,地图上无此路,,,,,,|,,,,,,,
G32050700004,I32050700000004,I32050700000010,4,1,地图上无此路,,,,,,|,,,,,,,
G32050700005,I32050700000005,I32050700000006,1,2,地图上无此路,,,,,,|,,,,,,,
G32050700005,I32050700000005,I32050700000006,2,2,72,0,7633,72,0,0,|,,,,,,,
